Date,region,AveragePrice
2015-08-23,California,1.18
2015-08-16,California,1.11
2015-08-09,California,1.1
2015-08-02,California,1.16
2015-07-26,California,1.13
2015-07-19,California,1.18
2015-07-12,California,1.13
2015-07-05,California,1.12
2015-06-28,California,1.1
2015-06-21,California,1.07
2015-06-14,California,0.97
2015-06-07,California,0.98
2015-05-31,California,0.98
2015-05-24,California,1.1
2015-05-17,California,1.08
2015-05-10,California,0.93
2015-05-03,California,0.88
2015-04-26,California,1.15
2015-04-19,California,1.05
2015-04-12,California,1.06
2015-04-05,California,1.12
2015-03-29,California,1.1
2015-03-22,California,1.06
2015-03-15,California,1.06
2015-03-08,California,0.96
2015-03-01,California,0.84
2015-02-22,California,0.96
2015-02-15,California,0.96
2015-02-08,California,0.91
2015-02-01,California,0.85
2015-01-25,California,1.06
2015-01-18,California,1.02
2015-01-11,California,0.92
2015-01-04,California,0.93
2015-12-27,Charlotte,0.96
2015-12-20,Charlotte,0.98
2015-12-13,Charlotte,0.95
2015-12-06,Charlotte,0.99
2015-11-29,Charlotte,0.95
2015-11-22,Charlotte,1.0
2015-11-15,Charlotte,1.01
2015-11-08,Charlotte,1.03
2015-11-01,Charlotte,1.11
2015-10-25,Charlotte,1.27
2015-10-18,Charlotte,1.26
2015-10-11,Charlotte,1.14
2015-10-04,Charlotte,1.22
2015-09-27,Charlotte,1.09
2015-09-20,Charlotte,1.2
2015-09-13,Charlotte,1.19
2015-09-06,Charlotte,1.01
2015-08-30,Charlotte,1.2
2015-08-23,Charlotte,1.15
2015-08-16,Charlotte,1.24
2015-08-09,Charlotte,1.21
2015-08-02,Charlotte,1.24
2015-07-26,Charlotte,1.23
2015-07-19,Charlotte,1.19
2015-07-12,Charlotte,1.18
2015-07-05,Charlotte,1.18
2015-06-28,Charlotte,1.17
2015-06-21,Charlotte,1.17
2015-06-14,Charlotte,1.15
2015-06-07,Charlotte,1.15
2015-05-31,Charlotte,1.19
2015-05-24,Charlotte,1.2
2015-05-17,Charlotte,1.21
2015-05-10,Charlotte,1.19
2015-05-03,Charlotte,1.0
2015-04-26,Charlotte,1.2
2015-04-19,Charlotte,1.18
2015-04-12,Charlotte,1.17
2015-04-05,Charlotte,1.19
2015-03-29,Charlotte,1.23
2015-03-22,Charlotte,1.19
2015-03-15,Charlotte,1.19
2015-03-08,Charlotte,1.25
2015-03-01,Charlotte,1.18
2015-02-22,Charlotte,1.08
2015-02-15,Charlotte,1.22
2015-02-08,Charlotte,1.17
2015-02-01,Charlotte,0.98
2015-01-25,Charlotte,1.18
2015-01-18,Charlotte,1.25
2015-01-11,Charlotte,1.26
2015-01-04,Charlotte,1.19
2015-12-27,Chicago,0.93
2015-12-20,Chicago,0.91
2015-12-13,Chicago,1.07
2015-12-06,Chicago,1.14
2015-11-29,Chicago,1.11
2015-11-22,Chicago,0.94
2015-11-15,Chicago,1.17
2015-11-08,Chicago,1.01
2015-11-01,Chicago,1.0
2015-10-25,Chicago,1.12
2015-10-18,Chicago,1.15
2015-10-11,Chicago,1.08
2015-10-04,Chicago,1.18
2015-09-27,Chicago,1.15
2015-09-20,Chicago,1.19
2015-09-13,Chicago,1.19
2015-09-06,Chicago,1.11
2015-08-30,Chicago,1.12
2015-08-23,Chicago,1.2
2015-08-16,Chicago,1.16
2015-08-09,Chicago,1.25
2015-08-02,Chicago,1.27
2015-07-26,Chicago,1.12
2015-07-19,Chicago,1.24
2015-07-12,Chicago,1.26
2015-07-05,Chicago,1.24
2015-06-28,Chicago,1.21
2015-06-21,Chicago,1.24
2015-06-14,Chicago,1.21
2015-06-07,Chicago,1.24
2015-05-31,Chicago,1.26
2015-05-24,Chicago,1.23
2015-05-17,Chicago,1.23
2015-05-10,Chicago,1.23
2015-05-03,Chicago,1.04
2015-04-26,Chicago,1.24
2015-04-19,Chicago,1.24
2015-04-12,Chicago,1.24
2015-04-05,Chicago,1.27
2015-03-29,Chicago,1.22
2015-03-22,Chicago,1.21
2015-03-15,Chicago,1.09
2015-03-08,Chicago,1.18
2015-03-01,Chicago,1.09
2015-02-22,Chicago,1.18
2015-02-15,Chicago,1.17
2015-02-08,Chicago,1.13
2015-02-01,Chicago,0.91
2015-01-25,Chicago,1.22
2015-01-18,Chicago,1.14
2015-01-11,Chicago,1.15
2015-01-04,Chicago,1.11
2015-12-27,CincinnatiDayton,0.87
2015-12-20,CincinnatiDayton,0.85
2015-12-13,CincinnatiDayton,0.79
2015-12-06,CincinnatiDayton,0.83
2015-11-29,CincinnatiDayton,0.88
2015-11-22,CincinnatiDayton,0.89
2015-11-15,CincinnatiDayton,0.88
2015-11-08,CincinnatiDayton,0.87
2015-11-01,CincinnatiDayton,0.93
2015-10-25,CincinnatiDayton,1.01
2015-10-18,CincinnatiDayton,0.98
2015-10-11,CincinnatiDayton,0.91
2015-10-04,CincinnatiDayton,0.93
2015-09-27,CincinnatiDayton,1.08
2015-09-20,CincinnatiDayton,1.05
2015-09-13,CincinnatiDayton,1.05
2015-09-06,CincinnatiDayton,1.02
2015-08-30,CincinnatiDayton,1.01
2015-08-23,CincinnatiDayton,1.05
2015-08-16,CincinnatiDayton,1.01
2015-08-09,CincinnatiDayton,1.08
2015-08-02,CincinnatiDayton,1.09
2015-07-26,CincinnatiDayton,1.03
2015-07-19,CincinnatiDayton,1.06
2015-07-12,CincinnatiDayton,1.03
2015-07-05,CincinnatiDayton,1.03
2015-06-28,CincinnatiDayton,1.01
2015-06-21,CincinnatiDayton,1.02
2015-06-14,CincinnatiDayton,1.05
2015-06-07,CincinnatiDayton,1.07
2015-05-31,CincinnatiDayton,1.06
2015-05-24,CincinnatiDayton,1.1
2015-05-17,CincinnatiDayton,1.04
2015-05-10,CincinnatiDayton,1.06
2015-05-03,CincinnatiDayton,1.08
2015-04-26,CincinnatiDayton,1.06
2015-04-19,CincinnatiDayton,1.02
2015-04-12,CincinnatiDayton,1.02
2015-04-05,CincinnatiDayton,1.06
2015-03-29,CincinnatiDayton,0.95
2015-03-22,CincinnatiDayton,0.98
2015-03-15,CincinnatiDayton,0.94
2015-03-08,CincinnatiDayton,0.87
2015-03-01,CincinnatiDayton,0.89
2015-02-22,CincinnatiDayton,0.93
2015-02-15,CincinnatiDayton,0.94
2015-02-08,CincinnatiDayton,0.93
2015-02-01,CincinnatiDayton,0.86
2015-01-25,CincinnatiDayton,0.93
2015-01-18,CincinnatiDayton,0.93
2015-01-11,CincinnatiDayton,0.92
2015-01-04,CincinnatiDayton,0.88
2015-12-27,Columbus,0.99
2015-12-20,Columbus,1.03
2015-12-13,Columbus,1.03
2015-12-06,Columbus,0.99
2015-11-29,Columbus,1.03
2015-11-22,Columbus,1.04
2015-11-15,Columbus,0.99
2015-11-08,Columbus,0.95
2015-11-01,Columbus,0.99
2015-10-25,Columbus,1.04
2015-10-18,Columbus,0.98
2015-10-11,Columbus,0.9
2015-10-04,Columbus,0.93
2015-09-27,Columbus,1.02
2015-09-20,Columbus,1.0
2015-09-13,Columbus,1.02
2015-09-06,Columbus,1.04
2015-08-30,Columbus,1.03
2015-08-23,Columbus,1.08
2015-08-16,Columbus,1.03
2015-08-09,Columbus,1.0
2015-08-02,Columbus,1.05
2015-07-26,Columbus,1.02
2015-07-19,Columbus,1.05
2015-07-12,Columbus,1.04
2015-07-05,Columbus,0.98
2015-06-28,Columbus,0.94
2015-06-21,Columbus,0.99
2015-06-14,Columbus,1.01
2015-06-07,Columbus,1.03
2015-05-31,Columbus,1.1
2015-05-24,Columbus,1.01
2015-05-17,Columbus,1.0
2015-05-10,Columbus,1.1
2015-05-03,Columbus,0.99
2015-04-26,Columbus,1.02
2015-04-19,Columbus,1.0
2015-04-12,Columbus,1.07
2015-04-05,Columbus,1.09
2015-03-29,Columbus,0.96
2015-03-22,Columbus,0.94
2015-03-15,Columbus,1.01
2015-03-08,Columbus,0.95
2015-03-01,Columbus,1.03
2015-02-22,Columbus,1.09
2015-02-15,Columbus,1.05
2015-02-08,Columbus,0.96
2015-02-01,Columbus,0.87
2015-01-25,Columbus,1.08
2015-01-18,Columbus,1.02
2015-01-11,Columbus,0.97
2015-01-04,Columbus,0.89
2015-12-27,DallasFtWorth,0.8
2015-12-20,DallasFtWorth,0.82
2015-12-13,DallasFtWorth,0.79
2015-12-06,DallasFtWorth,0.74
2015-11-29,DallasFtWorth,0.8
2015-11-22,DallasFtWorth,0.78
2015-11-15,DallasFtWorth,0.71
2015-11-08,DallasFtWorth,0.8
2015-11-01,DallasFtWorth,0.78
2015-10-25,DallasFtWorth,0.86
2015-10-18,DallasFtWorth,0.83
2015-10-11,DallasFtWorth,0.81
2015-10-04,DallasFtWorth,0.82
2015-09-27,DallasFtWorth,0.84
2015-09-20,DallasFtWorth,0.77
2015-09-13,DallasFtWorth,0.86
2015-09-06,DallasFtWorth,0.84
2015-08-30,DallasFtWorth,0.82
2015-08-23,DallasFtWorth,0.85
2015-08-16,DallasFtWorth,0.88
2015-08-09,DallasFtWorth,0.85
2015-08-02,DallasFtWorth,0.87
2015-07-26,DallasFtWorth,0.8
2015-07-19,DallasFtWorth,0.82
2015-07-12,DallasFtWorth,0.82
2015-07-05,DallasFtWorth,0.83
2015-06-28,DallasFtWorth,0.77
2015-06-21,DallasFtWorth,0.75
2015-06-14,DallasFtWorth,0.65
2015-06-07,DallasFtWorth,0.73
2015-05-31,DallasFtWorth,0.68
2015-05-24,DallasFtWorth,0.81
2015-05-17,DallasFtWorth,0.73
2015-05-10,DallasFtWorth,0.75
2015-05-03,DallasFtWorth,0.77
2015-04-26,DallasFtWorth,0.81
2015-04-19,DallasFtWorth,0.8
2015-04-12,DallasFtWorth,0.72
2015-04-05,DallasFtWorth,0.77
2015-03-29,DallasFtWorth,0.79
2015-03-22,DallasFtWorth,0.67
2015-03-15,DallasFtWorth,0.72
2015-03-08,DallasFtWorth,0.75
2015-03-01,DallasFtWorth,0.82
2015-02-22,DallasFtWorth,0.8
2015-02-15,DallasFtWorth,0.77
2015-02-08,DallasFtWorth,0.67
2015-02-01,DallasFtWorth,0.68
2015-01-25,DallasFtWorth,0.8
2015-01-18,DallasFtWorth,0.76
2015-01-11,DallasFtWorth,0.76
2015-01-04,DallasFtWorth,0.74
2015-12-27,Denver,0.98
2015-12-20,Denver,1.05
2015-12-13,Denver,0.83
2015-12-06,Denver,0.76
2015-11-29,Denver,1.12
2015-11-22,Denver,0.85
2015-11-15,Denver,0.82
2015-11-08,Denver,0.93
2015-11-01,Denver,0.82
2015-10-25,Denver,0.93
2015-10-18,Denver,0.87
2015-10-11,Denver,0.9
2015-10-04,Denver,1.02
2015-09-27,Denver,0.97
2015-09-20,Denver,0.98
2015-09-13,Denver,1.01
2015-09-06,Denver,1.09
2015-08-30,Denver,1.14
2015-08-23,Denver,1.2
2015-08-16,Denver,1.17
2015-08-09,Denver,1.09
2015-08-02,Denver,1.05
2015-07-26,Denver,1.18
2015-07-19,Denver,1.1
2015-07-12,Denver,1.18
2015-07-05,Denver,1.19
2015-06-28,Denver,1.2
2015-06-21,Denver,1.16
2015-06-14,Denver,1.16
2015-06-07,Denver,1.11
2015-05-31,Denver,1.26
2015-05-24,Denver,1.16
2015-05-17,Denver,1.21
2015-05-10,Denver,1.08
2015-05-03,Denver,1.01
2015-04-26,Denver,1.19
2015-04-19,Denver,1.08
2015-04-12,Denver,1.05
2015-04-05,Denver,1.19
2015-03-29,Denver,1.11
2015-03-22,Denver,1.15
2015-03-15,Denver,1.03
2015-03-08,Denver,1.03
2015-03-01,Denver,1.03
2015-02-22,Denver,1.0
2015-02-15,Denver,1.12
2015-02-08,Denver,0.95
2015-02-01,Denver,0.93
2015-01-25,Denver,1.02
2015-01-18,Denver,0.99
2015-01-11,Denver,1.09
2015-01-04,Denver,0.99
2015-12-27,Detroit,1.08
2015-12-20,Detroit,1.1
2015-12-13,Detroit,1.05
2015-12-06,Detroit,0.98
2015-11-29,Detroit,1.11
2015-11-22,Detroit,1.09
2015-11-15,Detroit,1.1
2015-11-08,Detroit,1.03
2015-11-01,Detroit,1.04
2015-10-25,Detroit,1.17
2015-10-18,Detroit,0.97
2015-10-11,Detroit,0.99
2015-10-04,Detroit,1.1
2015-09-27,Detroit,1.17
2015-09-20,Detroit,1.0
2015-09-13,Detroit,1.03
2015-09-06,Detroit,1.09
2015-08-30,Detroit,0.96
2015-08-23,Detroit,1.11
2015-08-16,Detroit,0.97
2015-08-09,Detroit,1.07
2015-08-02,Detroit,1.04
2015-07-26,Detroit,0.99
2015-07-19,Detroit,1.04
2015-07-12,Detroit,1.02
2015-07-05,Detroit,1.06
2015-06-28,Detroit,1.0
2015-06-21,Detroit,0.97
2015-06-14,Detroit,1.04
2015-06-07,Detroit,0.97
2015-05-31,Detroit,1.09
2015-05-24,Detroit,1.03
2015-05-17,Detroit,0.95
2015-05-10,Detroit,1.11
2015-05-03,Detroit,1.06
2015-04-26,Detroit,1.01
2015-04-19,Detroit,0.96
2015-04-12,Detroit,1.02
2015-04-05,Detroit,1.11
2015-03-29,Detroit,0.97
2015-03-22,Detroit,0.97
2015-03-15,Detroit,1.13
2015-03-08,Detroit,1.01
2015-03-01,Detroit,0.97
2015-02-22,Detroit,1.15
2015-02-15,Detroit,1.16
2015-02-08,Detroit,1.11
2015-02-01,Detroit,0.92
2015-01-25,Detroit,1.19
2015-01-18,Detroit,1.1
2015-01-11,Detroit,1.08
2015-01-04,Detroit,1.01
2015-12-27,GrandRapids,1.13
2015-12-20,GrandRapids,1.13
2015-12-13,GrandRapids,1.24
2015-12-06,GrandRapids,0.93
2015-11-29,GrandRapids,1.12
2015-11-22,GrandRapids,1.11
2015-11-15,GrandRapids,1.2
2015-11-08,GrandRapids,0.93
2015-11-01,GrandRapids,0.91
2015-10-25,GrandRapids,1.14
2015-10-18,GrandRapids,0.94
2015-10-11,GrandRapids,0.97
2015-10-04,GrandRapids,0.99
2015-09-27,GrandRapids,1.15
2015-09-20,GrandRapids,0.88
2015-09-13,GrandRapids,0.95
2015-09-06,GrandRapids,1.09
2015-08-30,GrandRapids,0.91
2015-08-23,GrandRapids,1.28
2015-08-16,GrandRapids,0.89
2015-08-09,GrandRapids,1.08
2015-08-02,GrandRapids,1.05
2015-07-26,GrandRapids,1.12
2015-07-19,GrandRapids,1.05
2015-07-12,GrandRapids,1.19
2015-07-05,GrandRapids,1.16
2015-06-28,GrandRapids,1.1
2015-06-21,GrandRapids,0.96
2015-06-14,GrandRapids,1.07
2015-06-07,GrandRapids,1.14
2015-05-31,GrandRapids,1.31
2015-05-24,GrandRapids,1.3
2015-05-17,GrandRapids,0.97
2015-05-10,GrandRapids,1.36
2015-05-03,GrandRapids,1.06
2015-04-26,GrandRapids,1.09
2015-04-19,GrandRapids,0.93
2015-04-12,GrandRapids,1.13
2015-04-05,GrandRapids,1.22
2015-03-29,GrandRapids,1.11
2015-03-22,GrandRapids,0.91
2015-03-15,GrandRapids,1.35
2015-03-08,GrandRapids,1.08
2015-03-01,GrandRapids,0.95
2015-02-22,GrandRapids,1.31
2015-02-15,GrandRapids,1.21
2015-02-08,GrandRapids,1.24
2015-02-01,GrandRapids,0.94
2015-01-25,GrandRapids,1.19
2015-01-18,GrandRapids,1.07
2015-01-11,GrandRapids,1.03
2015-01-04,GrandRapids,0.95
2015-12-27,GreatLakes,1.01
2015-12-20,GreatLakes,1.01
2015-12-13,GreatLakes,1.03
2015-12-06,GreatLakes,1.0
2015-11-29,GreatLakes,1.07
2015-11-22,GreatLakes,1.03
2015-11-15,GreatLakes,1.09
2015-11-08,GreatLakes,0.98
2015-11-01,GreatLakes,1.0
2015-10-25,GreatLakes,1.1
2015-10-18,GreatLakes,1.03
2015-10-11,GreatLakes,1.02
2015-10-04,GreatLakes,1.05
2015-09-27,GreatLakes,1.1
2015-09-20,GreatLakes,1.02
2015-09-13,GreatLakes,1.03
2015-09-06,GreatLakes,1.07
2015-08-30,GreatLakes,1.04
2015-08-23,GreatLakes,1.14
2015-08-16,GreatLakes,1.03
2015-08-09,GreatLakes,1.12
2015-08-02,GreatLakes,1.14
2015-07-26,GreatLakes,1.1
2015-07-19,GreatLakes,1.12
2015-07-12,GreatLakes,1.14
2015-07-05,GreatLakes,1.13
2015-06-28,GreatLakes,1.07
2015-06-21,GreatLakes,1.08
2015-06-14,GreatLakes,1.12
2015-06-07,GreatLakes,1.13
2015-05-31,GreatLakes,1.2
2015-05-24,GreatLakes,1.15
2015-05-17,GreatLakes,1.09
2015-05-10,GreatLakes,1.15
2015-05-03,GreatLakes,1.05
2015-04-26,GreatLakes,1.14
2015-04-19,GreatLakes,1.06
2015-04-12,GreatLakes,1.11
2015-04-05,GreatLakes,1.18
