,region,AveragePrice,Date_object
150,BaltimoreWashington,1.09,2015-02-08
151,BaltimoreWashington,1.06,2015-02-01
152,BaltimoreWashington,1.2,2015-01-25
153,BaltimoreWashington,1.23,2015-01-18
154,BaltimoreWashington,1.17,2015-01-11
155,BaltimoreWashington,1.08,2015-01-04
156,Boise,0.97,2015-12-27
157,Boise,1.03,2015-12-20
158,Boise,0.99,2015-12-13
159,Boise,0.71,2015-12-06
160,Boise,1.06,2015-11-29
161,Boise,1.09,2015-11-22
162,Boise,1.01,2015-11-15
163,Boise,1.11,2015-11-08
164,Boise,1.14,2015-11-01
165,Boise,1.11,2015-10-25
166,Boise,1.16,2015-10-18
167,Boise,0.94,2015-10-11
168,Boise,1.12,2015-10-04
169,Boise,0.99,2015-09-27
170,Boise,1.03,2015-09-20
171,Boise,1.08,2015-09-13
172,Boise,1.16,2015-09-06
173,Boise,1.19,2015-08-30
174,Boise,1.05,2015-08-23
175,Boise,1.12,2015-08-16
176,Boise,1.1,2015-08-09
177,Boise,1.07,2015-08-02
178,Boise,1.07,2015-07-26
179,Boise,1.09,2015-07-19
180,Boise,1.05,2015-07-12
181,Boise,1.15,2015-07-05
182,Boise,1.04,2015-06-28
183,Boise,1.06,2015-06-21
184,Boise,0.99,2015-06-14
185,Boise,1.12,2015-06-07
186,Boise,0.97,2015-05-31
187,Boise,1.03,2015-05-24
188,Boise,0.96,2015-05-17
189,Boise,1.06,2015-05-10
190,Boise,1.0,2015-05-03
191,Boise,0.96,2015-04-26
192,Boise,0.99,2015-04-19
193,Boise,1.19,2015-04-12
194,Boise,1.09,2015-04-05
195,Boise,0.98,2015-03-29
196,Boise,1.17,2015-03-22
197,Boise,1.0,2015-03-15
198,Boise,1.14,2015-03-08
199,Boise,1.06,2015-03-01
200,Boise,0.99,2015-02-22
201,Boise,1.14,2015-02-15
202,Boise,1.07,2015-02-08
203,Boise,0.91,2015-02-01
204,Boise,1.03,2015-01-25
205,Boise,1.08,2015-01-18
206,Boise,1.18,2015-01-11
207,Boise,1.01,2015-01-04
208,Boston,1.13,2015-12-27
209,Boston,1.07,2015-12-20
210,Boston,1.01,2015-12-13
211,Boston,1.02,2015-12-06
212,Boston,1.19,2015-11-29
213,Boston,1.07,2015-11-22
214,Boston,1.05,2015-11-15
215,Boston,1.04,2015-11-08
216,Boston,1.06,2015-11-01
217,Boston,1.02,2015-10-25
218,Boston,0.94,2015-10-18
219,Boston,1.14,2015-10-11
220,Boston,1.07,2015-10-04
221,Boston,1.07,2015-09-27
222,Boston,1.15,2015-09-20
223,Boston,1.03,2015-09-13
224,Boston,1.11,2015-09-06
225,Boston,1.13,2015-08-30
226,Boston,1.07,2015-08-23
227,Boston,1.15,2015-08-16
228,Boston,1.07,2015-08-09
229,Boston,1.17,2015-08-02
230,Boston,1.28,2015-07-26
231,Boston,1.18,2015-07-19
232,Boston,1.14,2015-07-12
233,Boston,1.27,2015-07-05
234,Boston,1.25,2015-06-28
235,Boston,1.24,2015-06-21
236,Boston,1.08,2015-06-14
237,Boston,1.25,2015-06-07
238,Boston,1.26,2015-05-31
239,Boston,1.14,2015-05-24
240,Boston,1.26,2015-05-17
241,Boston,1.14,2015-05-10
242,Boston,1.17,2015-05-03
243,Boston,1.28,2015-04-26
244,Boston,1.15,2015-04-19
245,Boston,1.26,2015-04-12
246,Boston,1.27,2015-04-05
247,Boston,1.19,2015-03-29
248,Boston,1.18,2015-03-22
249,Boston,1.25,2015-03-15
250,Boston,1.17,2015-03-08
251,Boston,1.11,2015-03-01
252,Boston,1.23,2015-02-22
253,Boston,1.2,2015-02-15
254,Boston,1.04,2015-02-08
255,Boston,1.22,2015-02-01
256,Boston,1.17,2015-01-25
257,Boston,1.23,2015-01-18
258,Boston,1.1,2015-01-11
259,Boston,1.02,2015-01-04
260,BuffaloRochester,1.35,2015-12-27
261,BuffaloRochester,1.37,2015-12-20
262,BuffaloRochester,1.35,2015-12-13
263,BuffaloRochester,1.23,2015-12-06
264,BuffaloRochester,1.39,2015-11-29
265,BuffaloRochester,1.4,2015-11-22
266,BuffaloRochester,1.36,2015-11-15
267,BuffaloRochester,1.3,2015-11-08
268,BuffaloRochester,1.23,2015-11-01
269,BuffaloRochester,1.36,2015-10-25
270,BuffaloRochester,1.29,2015-10-18
271,BuffaloRochester,1.3,2015-10-11
272,BuffaloRochester,1.33,2015-10-04
273,BuffaloRochester,1.31,2015-09-27
274,BuffaloRochester,1.54,2015-09-20
275,BuffaloRochester,1.59,2015-09-13
276,BuffaloRochester,1.56,2015-09-06
277,BuffaloRochester,1.38,2015-08-30
278,BuffaloRochester,1.49,2015-08-23
279,BuffaloRochester,1.5,2015-08-16
280,BuffaloRochester,1.47,2015-08-09
281,BuffaloRochester,1.47,2015-08-02
282,BuffaloRochester,1.39,2015-07-26
283,BuffaloRochester,1.36,2015-07-19
284,BuffaloRochester,1.45,2015-07-12
285,BuffaloRochester,1.47,2015-07-05
286,BuffaloRochester,1.36,2015-06-28
287,BuffaloRochester,1.5,2015-06-21
288,BuffaloRochester,1.34,2015-06-14
289,BuffaloRochester,1.38,2015-06-07
290,BuffaloRochester,1.4,2015-05-31
291,BuffaloRochester,1.43,2015-05-24
292,BuffaloRochester,1.35,2015-05-17
293,BuffaloRochester,1.33,2015-05-10
294,BuffaloRochester,1.42,2015-05-03
295,BuffaloRochester,1.41,2015-04-26
296,BuffaloRochester,1.42,2015-04-19
297,BuffaloRochester,1.42,2015-04-12
298,BuffaloRochester,1.44,2015-04-05
299,BuffaloRochester,1.39,2015-03-29
300,BuffaloRochester,1.4,2015-03-22
301,BuffaloRochester,1.47,2015-03-15
302,BuffaloRochester,1.35,2015-03-08
303,BuffaloRochester,1.43,2015-03-01
304,BuffaloRochester,1.41,2015-02-22
305,BuffaloRochester,1.44,2015-02-15
306,BuffaloRochester,1.36,2015-02-08
307,BuffaloRochester,1.33,2015-02-01
308,BuffaloRochester,1.5,2015-01-25
309,BuffaloRochester,1.52,2015-01-18
310,BuffaloRochester,1.54,2015-01-11
311,BuffaloRochester,1.4,2015-01-04
312,California,0.9,2015-12-27
313,California,0.94,2015-12-20
314,California,0.87,2015-12-13
315,California,0.78,2015-12-06
316,California,0.91,2015-11-29
317,California,0.92,2015-11-22
318,California,0.83,2015-11-15
319,California,0.98,2015-11-08
320,California,0.95,2015-11-01
321,California,1.12,2015-10-25
322,California,1.07,2015-10-18
323,California,1.08,2015-10-11
324,California,1.02,2015-10-04
325,California,1.04,2015-09-27
326,California,1.14,2015-09-20
327,California,1.13,2015-09-13
328,California,1.09,2015-09-06
329,California,1.08,2015-08-30
330,California,1.18,2015-08-23
331,California,1.11,2015-08-16
332,California,1.1,2015-08-09
333,California,1.16,2015-08-02
334,California,1.13,2015-07-26
335,California,1.18,2015-07-19
336,California,1.13,2015-07-12
337,California,1.12,2015-07-05
338,California,1.1,2015-06-28
339,California,1.07,2015-06-21
340,California,0.97,2015-06-14
341,California,0.98,2015-06-07
342,California,0.98,2015-05-31
343,California,1.1,2015-05-24
344,California,1.08,2015-05-17
345,California,0.93,2015-05-10
346,California,0.88,2015-05-03
347,California,1.15,2015-04-26
348,California,1.05,2015-04-19
349,California,1.06,2015-04-12
350,California,1.12,2015-04-05
351,California,1.1,2015-03-29
352,California,1.06,2015-03-22
353,California,1.06,2015-03-15
354,California,0.96,2015-03-08
355,California,0.84,2015-03-01
356,California,0.96,2015-02-22
357,California,0.96,2015-02-15
358,California,0.91,2015-02-08
359,California,0.85,2015-02-01
360,California,1.06,2015-01-25
361,California,1.02,2015-01-18
362,California,0.92,2015-01-11
363,California,0.93,2015-01-04
364,Charlotte,0.96,2015-12-27
365,Charlotte,0.98,2015-12-20
366,Charlotte,0.95,2015-12-13
367,Charlotte,0.99,2015-12-06
368,Charlotte,0.95,2015-11-29
369,Charlotte,1.0,2015-11-22
370,Charlotte,1.01,2015-11-15
371,Charlotte,1.03,2015-11-08
372,Charlotte,1.11,2015-11-01
373,Charlotte,1.27,2015-10-25
374,Charlotte,1.26,2015-10-18
375,Charlotte,1.14,2015-10-11
376,Charlotte,1.22,2015-10-04
377,Charlotte,1.09,2015-09-27
378,Charlotte,1.2,2015-09-20
379,Charlotte,1.19,2015-09-13
380,Charlotte,1.01,2015-09-06
381,Charlotte,1.2,2015-08-30
382,Charlotte,1.15,2015-08-23
383,Charlotte,1.24,2015-08-16
384,Charlotte,1.21,2015-08-09
385,Charlotte,1.24,2015-08-02
386,Charlotte,1.23,2015-07-26
387,Charlotte,1.19,2015-07-19
388,Charlotte,1.18,2015-07-12
389,Charlotte,1.18,2015-07-05
390,Charlotte,1.17,2015-06-28
391,Charlotte,1.17,2015-06-21
392,Charlotte,1.15,2015-06-14
393,Charlotte,1.15,2015-06-07
394,Charlotte,1.19,2015-05-31
395,Charlotte,1.2,2015-05-24
396,Charlotte,1.21,2015-05-17
397,Charlotte,1.19,2015-05-10
398,Charlotte,1.0,2015-05-03
399,Charlotte,1.2,2015-04-26
400,Charlotte,1.18,2015-04-19
401,Charlotte,1.17,2015-04-12
402,Charlotte,1.19,2015-04-05
403,Charlotte,1.23,2015-03-29
404,Charlotte,1.19,2015-03-22
405,Charlotte,1.19,2015-03-15
406,Charlotte,1.25,2015-03-08
407,Charlotte,1.18,2015-03-01
408,Charlotte,1.08,2015-02-22
409,Charlotte,1.22,2015-02-15
410,Charlotte,1.17,2015-02-08
411,Charlotte,0.98,2015-02-01
412,Charlotte,1.18,2015-01-25
413,Charlotte,1.25,2015-01-18
414,Charlotte,1.26,2015-01-11
415,Charlotte,1.19,2015-01-04
416,Chicago,0.93,2015-12-27
417,Chicago,0.91,2015-12-20
418,Chicago,1.07,2015-12-13
419,Chicago,1.14,2015-12-06
420,Chicago,1.11,2015-11-29
421,Chicago,0.94,2015-11-22
422,Chicago,1.17,2015-11-15
423,Chicago,1.01,2015-11-08
424,Chicago,1.0,2015-11-01
425,Chicago,1.12,2015-10-25
426,Chicago,1.15,2015-10-18
427,Chicago,1.08,2015-10-11
428,Chicago,1.18,2015-10-04
429,Chicago,1.15,2015-09-27
430,Chicago,1.19,2015-09-20
431,Chicago,1.19,2015-09-13
432,Chicago,1.11,2015-09-06
433,Chicago,1.12,2015-08-30
434,Chicago,1.2,2015-08-23
435,Chicago,1.16,2015-08-16
436,Chicago,1.25,2015-08-09
437,Chicago,1.27,2015-08-02
438,Chicago,1.12,2015-07-26
439,Chicago,1.24,2015-07-19
440,Chicago,1.26,2015-07-12
441,Chicago,1.24,2015-07-05
442,Chicago,1.21,2015-06-28
443,Chicago,1.24,2015-06-21
444,Chicago,1.21,2015-06-14
445,Chicago,1.24,2015-06-07
446,Chicago,1.26,2015-05-31
447,Chicago,1.23,2015-05-24
448,Chicago,1.23,2015-05-17
449,Chicago,1.23,2015-05-10
450,Chicago,1.04,2015-05-03
451,Chicago,1.24,2015-04-26
452,Chicago,1.24,2015-04-19
453,Chicago,1.24,2015-04-12
454,Chicago,1.27,2015-04-05
455,Chicago,1.22,2015-03-29
456,Chicago,1.21,2015-03-22
457,Chicago,1.09,2015-03-15
458,Chicago,1.18,2015-03-08
459,Chicago,1.09,2015-03-01
460,Chicago,1.18,2015-02-22
461,Chicago,1.17,2015-02-15
462,Chicago,1.13,2015-02-08
463,Chicago,0.91,2015-02-01
464,Chicago,1.22,2015-01-25
465,Chicago,1.14,2015-01-18
466,Chicago,1.15,2015-01-11
467,Chicago,1.11,2015-01-04
468,CincinnatiDayton,0.87,2015-12-27
469,CincinnatiDayton,0.85,2015-12-20
470,CincinnatiDayton,0.79,2015-12-13
471,CincinnatiDayton,0.83,2015-12-06
472,CincinnatiDayton,0.88,2015-11-29
473,CincinnatiDayton,0.89,2015-11-22
474,CincinnatiDayton,0.88,2015-11-15
475,CincinnatiDayton,0.87,2015-11-08
476,CincinnatiDayton,0.93,2015-11-01
477,CincinnatiDayton,1.01,2015-10-25
478,CincinnatiDayton,0.98,2015-10-18
479,CincinnatiDayton,0.91,2015-10-11
480,CincinnatiDayton,0.93,2015-10-04
481,CincinnatiDayton,1.08,2015-09-27
482,CincinnatiDayton,1.05,2015-09-20
483,CincinnatiDayton,1.05,2015-09-13
484,CincinnatiDayton,1.02,2015-09-06
485,CincinnatiDayton,1.01,2015-08-30
486,CincinnatiDayton,1.05,2015-08-23
487,CincinnatiDayton,1.01,2015-08-16
488,CincinnatiDayton,1.08,2015-08-09
489,CincinnatiDayton,1.09,2015-08-02
490,CincinnatiDayton,1.03,2015-07-26
491,CincinnatiDayton,1.06,2015-07-19
492,CincinnatiDayton,1.03,2015-07-12
493,CincinnatiDayton,1.03,2015-07-05
494,CincinnatiDayton,1.01,2015-06-28
495,CincinnatiDayton,1.02,2015-06-21
496,CincinnatiDayton,1.05,2015-06-14
497,CincinnatiDayton,1.07,2015-06-07
498,CincinnatiDayton,1.06,2015-05-31
499,CincinnatiDayton,1.1,2015-05-24
500,CincinnatiDayton,1.04,2015-05-17
501,CincinnatiDayton,1.06,2015-05-10
502,CincinnatiDayton,1.08,2015-05-03
503,CincinnatiDayton,1.06,2015-04-26
504,CincinnatiDayton,1.02,2015-04-19
505,CincinnatiDayton,1.02,2015-04-12
506,CincinnatiDayton,1.06,2015-04-05
507,CincinnatiDayton,0.95,2015-03-29
508,CincinnatiDayton,0.98,2015-03-22
509,CincinnatiDayton,0.94,2015-03-15
510,CincinnatiDayton,0.87,2015-03-08
511,CincinnatiDayton,0.89,2015-03-01
512,CincinnatiDayton,0.93,2015-02-22
513,CincinnatiDayton,0.94,2015-02-15
514,CincinnatiDayton,0.93,2015-02-08
515,CincinnatiDayton,0.86,2015-02-01
516,CincinnatiDayton,0.93,2015-01-25
517,CincinnatiDayton,0.93,2015-01-18
518,CincinnatiDayton,0.92,2015-01-11
519,CincinnatiDayton,0.88,2015-01-04
520,Columbus,0.99,2015-12-27
521,Columbus,1.03,2015-12-20
522,Columbus,1.03,2015-12-13
523,Columbus,0.99,2015-12-06
524,Columbus,1.03,2015-11-29
525,Columbus,1.04,2015-11-22
526,Columbus,0.99,2015-11-15
527,Columbus,0.95,2015-11-08
528,Columbus,0.99,2015-11-01
529,Columbus,1.04,2015-10-25
530,Columbus,0.98,2015-10-18
531,Columbus,0.9,2015-10-11
532,Columbus,0.93,2015-10-04
533,Columbus,1.02,2015-09-27
534,Columbus,1.0,2015-09-20
535,Columbus,1.02,2015-09-13
536,Columbus,1.04,2015-09-06
537,Columbus,1.03,2015-08-30
538,Columbus,1.08,2015-08-23
539,Columbus,1.03,2015-08-16
540,Columbus,1.0,2015-08-09
541,Columbus,1.05,2015-08-02
542,Columbus,1.02,2015-07-26
543,Columbus,1.05,2015-07-19
544,Columbus,1.04,2015-07-12
545,Columbus,0.98,2015-07-05
546,Columbus,0.94,2015-06-28
547,Columbus,0.99,2015-06-21
548,Columbus,1.01,2015-06-14
549,Columbus,1.03,2015-06-07
550,Columbus,1.1,2015-05-31
551,Columbus,1.01,2015-05-24
552,Columbus,1.0,2015-05-17
553,Columbus,1.1,2015-05-10
554,Columbus,0.99,2015-05-03
555,Columbus,1.02,2015-04-26
556,Columbus,1.0,2015-04-19
557,Columbus,1.07,2015-04-12
558,Columbus,1.09,2015-04-05
559,Columbus,0.96,2015-03-29
560,Columbus,0.94,2015-03-22
561,Columbus,1.01,2015-03-15
562,Columbus,0.95,2015-03-08
563,Columbus,1.03,2015-03-01
564,Columbus,1.09,2015-02-22
565,Columbus,1.05,2015-02-15
566,Columbus,0.96,2015-02-08
567,Columbus,0.87,2015-02-01
568,Columbus,1.08,2015-01-25
569,Columbus,1.02,2015-01-18
570,Columbus,0.97,2015-01-11
571,Columbus,0.89,2015-01-04
572,DallasFtWorth,0.8,2015-12-27
573,DallasFtWorth,0.82,2015-12-20
574,DallasFtWorth,0.79,2015-12-13
575,DallasFtWorth,0.74,2015-12-06
576,DallasFtWorth,0.8,2015-11-29
577,DallasFtWorth,0.78,2015-11-22
578,DallasFtWorth,0.71,2015-11-15
579,DallasFtWorth,0.8,2015-11-08
580,DallasFtWorth,0.78,2015-11-01
581,DallasFtWorth,0.86,2015-10-25
582,DallasFtWorth,0.83,2015-10-18
583,DallasFtWorth,0.81,2015-10-11
584,DallasFtWorth,0.82,2015-10-04
585,DallasFtWorth,0.84,2015-09-27
586,DallasFtWorth,0.77,2015-09-20
587,DallasFtWorth,0.86,2015-09-13
588,DallasFtWorth,0.84,2015-09-06
589,DallasFtWorth,0.82,2015-08-30
590,DallasFtWorth,0.85,2015-08-23
591,DallasFtWorth,0.88,2015-08-16
592,DallasFtWorth,0.85,2015-08-09
593,DallasFtWorth,0.87,2015-08-02
594,DallasFtWorth,0.8,2015-07-26
595,DallasFtWorth,0.82,2015-07-19
596,DallasFtWorth,0.82,2015-07-12
597,DallasFtWorth,0.83,2015-07-05
598,DallasFtWorth,0.77,2015-06-28
599,DallasFtWorth,0.75,2015-06-21
600,DallasFtWorth,0.65,2015-06-14
601,DallasFtWorth,0.73,2015-06-07
602,DallasFtWorth,0.68,2015-05-31
603,DallasFtWorth,0.81,2015-05-24
604,DallasFtWorth,0.73,2015-05-17
605,DallasFtWorth,0.75,2015-05-10
606,DallasFtWorth,0.77,2015-05-03
607,DallasFtWorth,0.81,2015-04-26
608,DallasFtWorth,0.8,2015-04-19
609,DallasFtWorth,0.72,2015-04-12
610,DallasFtWorth,0.77,2015-04-05
611,DallasFtWorth,0.79,2015-03-29
612,DallasFtWorth,0.67,2015-03-22
613,DallasFtWorth,0.72,2015-03-15
614,DallasFtWorth,0.75,2015-03-08
615,DallasFtWorth,0.82,2015-03-01
616,DallasFtWorth,0.8,2015-02-22
617,DallasFtWorth,0.77,2015-02-15
618,DallasFtWorth,0.67,2015-02-08
619,DallasFtWorth,0.68,2015-02-01
620,DallasFtWorth,0.8,2015-01-25
621,DallasFtWorth,0.76,2015-01-18
622,DallasFtWorth,0.76,2015-01-11
623,DallasFtWorth,0.74,2015-01-04
624,Denver,0.98,2015-12-27
625,Denver,1.05,2015-12-20
626,Denver,0.83,2015-12-13
627,Denver,0.76,2015-12-06
628,Denver,1.12,2015-11-29
629,Denver,0.85,2015-11-22
630,Denver,0.82,2015-11-15
631,Denver,0.93,2015-11-08
632,Denver,0.82,2015-11-01
633,Denver,0.93,2015-10-25
634,Denver,0.87,2015-10-18
635,Denver,0.9,2015-10-11
636,Denver,1.02,2015-10-04
637,Denver,0.97,2015-09-27
638,Denver,0.98,2015-09-20
639,Denver,1.01,2015-09-13
640,Denver,1.09,2015-09-06
641,Denver,1.14,2015-08-30
642,Denver,1.2,2015-08-23
643,Denver,1.17,2015-08-16
644,Denver,1.09,2015-08-09
645,Denver,1.05,2015-08-02
646,Denver,1.18,2015-07-26
647,Denver,1.1,2015-07-19
648,Denver,1.18,2015-07-12
649,Denver,1.19,2015-07-05
650,Denver,1.2,2015-06-28
651,Denver,1.16,2015-06-21
652,Denver,1.16,2015-06-14
653,Denver,1.11,2015-06-07
654,Denver,1.26,2015-05-31
655,Denver,1.16,2015-05-24
656,Denver,1.21,2015-05-17
657,Denver,1.08,2015-05-10
658,Denver,1.01,2015-05-03
659,Denver,1.19,2015-04-26
660,Denver,1.08,2015-04-19
661,Denver,1.05,2015-04-12
662,Denver,1.19,2015-04-05
663,Denver,1.11,2015-03-29
664,Denver,1.15,2015-03-22
665,Denver,1.03,2015-03-15
666,Denver,1.03,2015-03-08
667,Denver,1.03,2015-03-01
668,Denver,1.0,2015-02-22
669,Denver,1.12,2015-02-15
670,Denver,0.95,2015-02-08
671,Denver,0.93,2015-02-01
672,Denver,1.02,2015-01-25
673,Denver,0.99,2015-01-18
674,Denver,1.09,2015-01-11
675,Denver,0.99,2015-01-04
676,Detroit,1.08,2015-12-27
677,Detroit,1.1,2015-12-20
678,Detroit,1.05,2015-12-13
679,Detroit,0.98,2015-12-06
680,Detroit,1.11,2015-11-29
681,Detroit,1.09,2015-11-22
682,Detroit,1.1,2015-11-15
683,Detroit,1.03,2015-11-08
684,Detroit,1.04,2015-11-01
685,Detroit,1.17,2015-10-25
686,Detroit,0.97,2015-10-18
687,Detroit,0.99,2015-10-11
688,Detroit,1.1,2015-10-04
689,Detroit,1.17,2015-09-27
690,Detroit,1.0,2015-09-20
691,Detroit,1.03,2015-09-13
692,Detroit,1.09,2015-09-06
693,Detroit,0.96,2015-08-30
694,Detroit,1.11,2015-08-23
695,Detroit,0.97,2015-08-16
696,Detroit,1.07,2015-08-09
697,Detroit,1.04,2015-08-02
698,Detroit,0.99,2015-07-26
699,Detroit,1.04,2015-07-19
700,Detroit,1.02,2015-07-12
701,Detroit,1.06,2015-07-05
702,Detroit,1.0,2015-06-28
703,Detroit,0.97,2015-06-21
704,Detroit,1.04,2015-06-14
705,Detroit,0.97,2015-06-07
706,Detroit,1.09,2015-05-31
707,Detroit,1.03,2015-05-24
708,Detroit,0.95,2015-05-17
709,Detroit,1.11,2015-05-10
710,Detroit,1.06,2015-05-03
711,Detroit,1.01,2015-04-26
712,Detroit,0.96,2015-04-19
713,Detroit,1.02,2015-04-12
714,Detroit,1.11,2015-04-05
715,Detroit,0.97,2015-03-29
716,Detroit,0.97,2015-03-22
717,Detroit,1.13,2015-03-15
718,Detroit,1.01,2015-03-08
719,Detroit,0.97,2015-03-01
720,Detroit,1.15,2015-02-22
721,Detroit,1.16,2015-02-15
722,Detroit,1.11,2015-02-08
723,Detroit,0.92,2015-02-01
724,Detroit,1.19,2015-01-25
725,Detroit,1.1,2015-01-18
726,Detroit,1.08,2015-01-11
727,Detroit,1.01,2015-01-04
728,GrandRapids,1.13,2015-12-27
729,GrandRapids,1.13,2015-12-20
730,GrandRapids,1.24,2015-12-13
731,GrandRapids,0.93,2015-12-06
732,GrandRapids,1.12,2015-11-29
733,GrandRapids,1.11,2015-11-22
734,GrandRapids,1.2,2015-11-15
735,GrandRapids,0.93,2015-11-08
736,GrandRapids,0.91,2015-11-01
