AveragePrice,Total Volume,type,year,region
1.67,376500.91,conventional,2016,Boston
1.58,439551.69,conventional,2016,Boston
1.6,453605.17,conventional,2016,Boston
1.49,468135.46,conventional,2016,Boston
1.59,459163.77,conventional,2016,Boston
1.53,483057.37,conventional,2016,Boston
1.45,489600.6,conventional,2016,Boston
1.27,672672.86,conventional,2016,Boston
1.41,541671.24,conventional,2016,Boston
1.37,582023.28,conventional,2016,Boston
1.31,586072.78,conventional,2016,Boston
1.29,602605.29,conventional,2016,Boston
1.48,525387.25,conventional,2016,Boston
1.61,508949.6,conventional,2016,Boston
1.52,509094.85,conventional,2016,Boston
1.56,488508.05,conventional,2016,Boston
1.32,549815.44,conventional,2016,Boston
1.38,585484.69,conventional,2016,Boston
1.33,626972.88,conventional,2016,Boston
1.32,649660.14,conventional,2016,Boston
1.29,632855.52,conventional,2016,Boston
1.26,634989.55,conventional,2016,Boston
1.08,673496.13,conventional,2016,Boston
1.05,665086.17,conventional,2016,Boston
1.06,709563.16,conventional,2016,Boston
0.85,924194.42,conventional,2016,Boston
1.05,716003.18,conventional,2016,Boston
1.07,626895.08,conventional,2016,Boston
1.08,617179.71,conventional,2016,Boston
0.99,652546.84,conventional,2016,Boston
1.11,559718.46,conventional,2016,Boston
1.08,639420.34,conventional,2016,Boston
1.1,645235.38,conventional,2016,Boston
1.05,651211.44,conventional,2016,Boston
1.1,600639.74,conventional,2016,Boston
1.08,652943.0,conventional,2016,Boston
1.14,553709.44,conventional,2016,Boston
0.98,751656.56,conventional,2016,Boston
1.05,678810.37,conventional,2016,Boston
1.03,651616.91,conventional,2016,Boston
1.05,670376.77,conventional,2016,Boston
1.02,665217.66,conventional,2016,Boston
1.15,536674.53,conventional,2016,Boston
1.01,610622.03,conventional,2016,Boston
1.22,616653.72,conventional,2016,Chicago
1.18,631117.18,conventional,2016,Chicago
1.09,734954.21,conventional,2016,Chicago
1.27,624751.15,conventional,2016,Chicago
1.1,581638.75,conventional,2016,Chicago
1.13,694873.06,conventional,2016,Chicago
1.82,436710.91,conventional,2016,Chicago
2.07,376476.71,conventional,2016,Chicago
2.07,375213.57,conventional,2016,Chicago
1.84,431274.2,conventional,2016,Chicago
1.8,523682.5,conventional,2016,Chicago
1.82,515146.04,conventional,2016,Chicago
1.83,509215.79,conventional,2016,Chicago
1.8,553863.82,conventional,2016,Chicago
1.7,600389.56,conventional,2016,Chicago
1.67,635036.01,conventional,2016,Chicago
1.6,670453.42,conventional,2016,Chicago
1.6,621715.78,conventional,2016,Chicago
1.63,628099.41,conventional,2016,Chicago
1.67,626086.69,conventional,2016,Chicago
1.68,644670.46,conventional,2016,Chicago
1.68,614939.39,conventional,2016,Chicago
1.66,658913.69,conventional,2016,Chicago
1.51,717279.19,conventional,2016,Chicago
1.53,712080.66,conventional,2016,Chicago
1.23,974278.32,conventional,2016,Chicago
1.18,860170.92,conventional,2016,Chicago
1.2,882074.39,conventional,2016,Chicago
1.3,770843.17,conventional,2016,Chicago
1.2,885602.82,conventional,2016,Chicago
1.15,958566.68,conventional,2016,Chicago
1.11,903864.9,conventional,2016,Chicago
1.04,930403.37,conventional,2016,Chicago
0.97,974740.13,conventional,2016,Chicago
1.0,890281.5,conventional,2016,Chicago
1.08,879308.05,conventional,2016,Chicago
1.08,913421.8,conventional,2016,Chicago
1.11,770661.72,conventional,2016,Chicago
1.15,712210.03,conventional,2016,Chicago
0.9,865585.06,conventional,2016,Chicago
1.11,770557.34,conventional,2016,Chicago
1.0,823796.56,conventional,2016,Chicago
1.13,809325.93,conventional,2016,Chicago
1.15,780951.86,conventional,2016,Chicago
1.09,752336.04,conventional,2016,Chicago
1.0,803120.71,conventional,2016,Chicago
0.82,1134049.22,conventional,2016,Chicago
1.12,774091.49,conventional,2016,Chicago
1.01,794029.7,conventional,2016,Chicago
1.11,778412.5,conventional,2016,Chicago
1.08,844277.25,conventional,2016,Chicago
0.93,1009667.15,conventional,2016,Chicago
1.02,308342.51,conventional,2016,SouthCarolina
1.07,269690.96,conventional,2016,SouthCarolina
1.2,243555.26,conventional,2016,SouthCarolina
1.09,304040.1,conventional,2016,SouthCarolina
1.33,229072.3,conventional,2016,SouthCarolina
1.34,246915.39,conventional,2016,SouthCarolina
1.41,255288.43,conventional,2016,SouthCarolina
1.5,222378.08,conventional,2016,SouthCarolina
1.43,227993.9,conventional,2016,SouthCarolina
1.4,260446.46,conventional,2016,SouthCarolina
1.3,281240.11,conventional,2016,SouthCarolina
1.32,262764.71,conventional,2016,SouthCarolina
1.3,301001.94,conventional,2016,SouthCarolina
1.25,327724.02,conventional,2016,SouthCarolina
1.12,331549.04,conventional,2016,SouthCarolina
1.08,341887.56,conventional,2016,SouthCarolina
1.03,419927.05,conventional,2016,SouthCarolina
1.11,352297.98,conventional,2016,SouthCarolina
1.08,381549.32,conventional,2016,SouthCarolina
1.11,389639.12,conventional,2016,SouthCarolina
1.17,362625.87,conventional,2016,SouthCarolina
1.18,344490.91,conventional,2016,SouthCarolina
1.18,336673.77,conventional,2016,SouthCarolina
1.17,336050.16,conventional,2016,SouthCarolina
1.08,389300.41,conventional,2016,SouthCarolina
0.95,515792.87,conventional,2016,SouthCarolina
1.07,367778.6,conventional,2016,SouthCarolina
0.97,451741.89,conventional,2016,SouthCarolina
1.04,357902.32,conventional,2016,SouthCarolina
0.94,416168.39,conventional,2016,SouthCarolina
0.97,441398.16,conventional,2016,SouthCarolina
1.04,343576.29,conventional,2016,SouthCarolina
0.89,422276.07,conventional,2016,SouthCarolina
0.82,504149.45,conventional,2016,SouthCarolina
0.76,591962.95,conventional,2016,SouthCarolina
0.93,420066.9,conventional,2016,SouthCarolina
1.01,370690.55,conventional,2016,SouthCarolina
0.96,397990.96,conventional,2016,SouthCarolina
1.05,340564.79,conventional,2016,SouthCarolina
1.07,315023.95,conventional,2016,SouthCarolina
1.07,331531.06,conventional,2016,SouthCarolina
0.96,414943.26,conventional,2016,SouthCarolina
1.06,325786.78,conventional,2016,SouthCarolina
0.93,387740.23,conventional,2016,SouthCarolina
1.04,302654.13,conventional,2016,SouthCarolina
0.91,342704.71,conventional,2016,SouthCarolina
0.69,593759.78,conventional,2016,SouthCarolina
1.01,312455.27,conventional,2016,SouthCarolina
0.95,317032.31,conventional,2016,SouthCarolina
1.05,287599.16,conventional,2016,SouthCarolina
0.98,322434.61,conventional,2016,SouthCarolina
1.03,319228.46,conventional,2016,SouthCarolina
1.4,419696.59,conventional,2017,Boston
1.45,414147.94,conventional,2017,Boston
1.28,516770.62,conventional,2017,Boston
1.14,687251.82,conventional,2017,Boston
1.4,488588.0,conventional,2017,Boston
1.39,423778.0,conventional,2017,Boston
1.36,476236.0,conventional,2017,Boston
1.23,639092.0,conventional,2017,Boston
1.49,440972.34,conventional,2017,Boston
1.49,465106.32,conventional,2017,Boston
1.48,435243.72,conventional,2017,Boston
1.59,418233.95,conventional,2017,Boston
1.61,451608.73,conventional,2017,Boston
1.62,482271.83,conventional,2017,Boston
1.62,498019.71,conventional,2017,Boston
1.58,462796.84,conventional,2017,Boston
1.63,524513.26,conventional,2017,Boston
1.81,457862.0,conventional,2017,Boston
1.79,455915.26,conventional,2017,Boston
1.77,474982.44,conventional,2017,Boston
1.52,624419.06,conventional,2017,Boston
1.55,604758.68,conventional,2017,Boston
1.48,568255.53,conventional,2017,Boston
1.37,686734.63,conventional,2017,Boston
1.56,594015.93,conventional,2017,Boston
1.69,560021.69,conventional,2017,Boston
1.67,545128.14,conventional,2017,Boston
1.68,545889.03,conventional,2017,Boston
1.66,581303.33,conventional,2017,Boston
1.72,583709.06,conventional,2017,Boston
1.73,590580.03,conventional,2017,Boston
1.73,602637.88,conventional,2017,Boston
1.69,572421.46,conventional,2017,Boston
1.62,610348.46,conventional,2017,Boston
1.49,676849.88,conventional,2017,Boston
1.61,603284.31,conventional,2017,Boston
1.63,520793.48,conventional,2017,Boston
1.61,592049.78,conventional,2017,Boston
1.53,629799.49,conventional,2017,Boston
1.56,571902.2,conventional,2017,Boston
1.51,550948.58,conventional,2017,Boston
1.54,540540.5,conventional,2017,Boston
1.55,495117.57,conventional,2017,Boston
1.3,620307.93,conventional,2017,Boston
1.24,599178.18,conventional,2017,Boston
1.31,521125.33,conventional,2017,Boston
1.12,791126.41,conventional,2017,Boston
1.19,772110.18,conventional,2017,Boston
1.32,604106.12,conventional,2017,Boston
1.26,663735.14,conventional,2017,Boston
1.3,577976.65,conventional,2017,Boston
1.09,730358.49,conventional,2017,Boston
1.29,458830.49,conventional,2017,Boston
0.93,1182647.5,conventional,2017,Chicago
1.36,707646.11,conventional,2017,Chicago
1.49,620053.78,conventional,2017,Chicago
1.13,1021445.27,conventional,2017,Chicago
1.56,654739.0,conventional,2017,Chicago
1.7,506394.0,conventional,2017,Chicago
1.71,555872.0,conventional,2017,Chicago
1.78,541010.0,conventional,2017,Chicago
1.77,538967.37,conventional,2017,Chicago
1.94,551605.92,conventional,2017,Chicago
2.06,519814.03,conventional,2017,Chicago
2.11,546055.57,conventional,2017,Chicago
2.22,516320.59,conventional,2017,Chicago
2.14,537708.81,conventional,2017,Chicago
2.07,551895.8,conventional,2017,Chicago
2.15,553215.27,conventional,2017,Chicago
2.02,590590.1,conventional,2017,Chicago
2.0,614460.2,conventional,2017,Chicago
1.93,624618.47,conventional,2017,Chicago
1.88,674811.14,conventional,2017,Chicago
1.89,640354.46,conventional,2017,Chicago
1.72,692140.55,conventional,2017,Chicago
1.62,735265.55,conventional,2017,Chicago
1.59,752799.06,conventional,2017,Chicago
1.54,801887.84,conventional,2017,Chicago
1.54,880107.48,conventional,2017,Chicago
1.45,943746.5,conventional,2017,Chicago
1.44,868770.67,conventional,2017,Chicago
1.53,862382.95,conventional,2017,Chicago
1.6,807370.03,conventional,2017,Chicago
1.64,776194.77,conventional,2017,Chicago
1.63,781085.77,conventional,2017,Chicago
1.64,764241.14,conventional,2017,Chicago
1.6,792532.64,conventional,2017,Chicago
1.51,976084.98,conventional,2017,Chicago
1.62,787324.19,conventional,2017,Chicago
1.63,719367.5,conventional,2017,Chicago
1.65,742675.28,conventional,2017,Chicago
1.65,699592.47,conventional,2017,Chicago
1.65,676300.83,conventional,2017,Chicago
1.64,656875.03,conventional,2017,Chicago
1.64,678898.01,conventional,2017,Chicago
1.66,665364.72,conventional,2017,Chicago
1.62,680803.2,conventional,2017,Chicago
1.61,674827.05,conventional,2017,Chicago
1.27,728402.35,conventional,2017,Chicago
1.05,874349.55,conventional,2017,Chicago
0.7,1621253.97,conventional,2017,Chicago
1.1,830499.38,conventional,2017,Chicago
1.21,845065.66,conventional,2017,Chicago
1.23,776820.81,conventional,2017,Chicago
1.16,822522.24,conventional,2017,Chicago
1.15,803348.87,conventional,2017,Chicago
0.99,460716.58,conventional,2017,SouthCarolina
1.22,294202.67,conventional,2017,SouthCarolina
1.04,348367.63,conventional,2017,SouthCarolina
1.02,382563.7,conventional,2017,SouthCarolina
1.12,349900.0,conventional,2017,SouthCarolina
1.25,269322.0,conventional,2017,SouthCarolina
1.23,295766.0,conventional,2017,SouthCarolina
1.23,340345.0,conventional,2017,SouthCarolina
1.28,308280.39,conventional,2017,SouthCarolina
1.32,310343.81,conventional,2017,SouthCarolina
1.57,275350.6,conventional,2017,SouthCarolina
1.69,275807.02,conventional,2017,SouthCarolina
1.56,316112.15,conventional,2017,SouthCarolina
1.64,296183.33,conventional,2017,SouthCarolina
1.57,300285.1,conventional,2017,SouthCarolina
1.46,311277.81,conventional,2017,SouthCarolina
1.42,286146.89,conventional,2017,SouthCarolina
1.44,328515.05,conventional,2017,SouthCarolina
1.41,333689.71,conventional,2017,SouthCarolina
1.4,348843.91,conventional,2017,SouthCarolina
1.36,370979.09,conventional,2017,SouthCarolina
1.37,336237.92,conventional,2017,SouthCarolina
1.3,359544.03,conventional,2017,SouthCarolina
1.3,382711.86,conventional,2017,SouthCarolina
1.28,385644.8,conventional,2017,SouthCarolina
1.24,380517.93,conventional,2017,SouthCarolina
1.28,413263.16,conventional,2017,SouthCarolina
1.17,406520.66,conventional,2017,SouthCarolina
1.3,356093.51,conventional,2017,SouthCarolina
1.3,404634.09,conventional,2017,SouthCarolina
1.33,423186.06,conventional,2017,SouthCarolina
1.41,393303.27,conventional,2017,SouthCarolina
1.38,363333.32,conventional,2017,SouthCarolina
1.34,367894.37,conventional,2017,SouthCarolina
1.19,531412.4,conventional,2017,SouthCarolina
1.34,429088.02,conventional,2017,SouthCarolina
1.36,374054.54,conventional,2017,SouthCarolina
1.37,368844.67,conventional,2017,SouthCarolina
1.38,345869.64,conventional,2017,SouthCarolina
1.38,366510.61,conventional,2017,SouthCarolina
1.41,343469.43,conventional,2017,SouthCarolina
1.37,332804.42,conventional,2017,SouthCarolina
1.4,325834.91,conventional,2017,SouthCarolina
1.31,326142.89,conventional,2017,SouthCarolina
1.06,404208.68,conventional,2017,SouthCarolina
1.14,331446.6,conventional,2017,SouthCarolina
0.99,395220.24,conventional,2017,SouthCarolina
0.81,706098.15,conventional,2017,SouthCarolina
1.11,395411.39,conventional,2017,SouthCarolina
1.0,451738.89,conventional,2017,SouthCarolina
1.14,369916.29,conventional,2017,SouthCarolina
1.15,352660.2,conventional,2017,SouthCarolina
1.0,402162.87,conventional,2017,SouthCarolina
1.39,641462.43,conventional,2018,Boston
1.38,602177.43,conventional,2018,Boston
1.34,629090.87,conventional,2018,Boston
1.19,785188.72,conventional,2018,Boston
1.41,527274.99,conventional,2018,Boston
1.51,515022.94,conventional,2018,Boston
1.3,834304.52,conventional,2018,Boston
1.39,725934.21,conventional,2018,Boston
1.22,800274.4,conventional,2018,Boston
1.12,999783.13,conventional,2018,Boston
1.49,533150.49,conventional,2018,Boston
1.28,685417.51,conventional,2018,Boston
1.36,908202.13,conventional,2018,Chicago
1.42,841171.24,conventional,2018,Chicago
1.54,830421.03,conventional,2018,Chicago
1.53,820728.47,conventional,2018,Chicago
1.51,794925.31,conventional,2018,Chicago
1.53,736317.26,conventional,2018,Chicago
1.39,897178.36,conventional,2018,Chicago
0.88,1802646.35,conventional,2018,Chicago
1.36,947968.47,conventional,2018,Chicago
1.42,951648.11,conventional,2018,Chicago
1.64,762997.53,conventional,2018,Chicago
1.5,842141.42,conventional,2018,Chicago
1.19,450658.34,conventional,2018,SouthCarolina
1.06,542846.79,conventional,2018,SouthCarolina
1.13,482065.76,conventional,2018,SouthCarolina
1.16,457398.25,conventional,2018,SouthCarolina
1.25,405689.01,conventional,2018,SouthCarolina
1.2,396970.44,conventional,2018,SouthCarolina
1.05,452805.55,conventional,2018,SouthCarolina
0.96,678235.27,conventional,2018,SouthCarolina
1.22,435490.6,conventional,2018,SouthCarolina
1.1,506254.11,conventional,2018,SouthCarolina
1.24,423919.68,conventional,2018,SouthCarolina
1.19,402919.29,conventional,2018,SouthCarolina
1.48,7986.08,organic,2015,Boston
1.41,7939.48,organic,2015,Boston
1.55,8563.97,organic,2015,Boston
1.29,8286.37,organic,2015,Boston
1.28,6869.81,organic,2015,Boston
1.27,7668.48,organic,2015,Boston
1.15,8779.47,organic,2015,Boston
1.22,7507.69,organic,2015,Boston
1.3,7166.04,organic,2015,Boston
1.27,8471.24,organic,2015,Boston
1.26,6986.04,organic,2015,Boston
1.26,7698.58,organic,2015,Boston
1.28,8186.26,organic,2015,Boston
2.0,2023.36,organic,2015,Boston
2.01,2623.42,organic,2015,Boston
2.0,3283.74,organic,2015,Boston
1.97,3343.86,organic,2015,Boston
2.03,2633.6,organic,2015,Boston
2.0,3080.47,organic,2015,Boston
2.09,2694.61,organic,2015,Boston
2.02,2955.27,organic,2015,Boston
2.12,3357.29,organic,2015,Boston
2.02,3367.46,organic,2015,Boston
2.05,3388.25,organic,2015,Boston
2.19,2763.5,organic,2015,Boston
2.13,3135.77,organic,2015,Boston
2.03,3045.1,organic,2015,Boston
2.06,2662.63,organic,2015,Boston
2.03,2943.18,organic,2015,Boston
2.0,3641.0,organic,2015,Boston
1.94,4235.93,organic,2015,Boston
1.94,3507.89,organic,2015,Boston
1.91,4366.74,organic,2015,Boston
2.02,3428.91,organic,2015,Boston
1.82,4123.17,organic,2015,Boston
1.86,3517.6,organic,2015,Boston
1.94,2696.21,organic,2015,Boston
1.86,3619.27,organic,2015,Boston
1.91,3202.71,organic,2015,Boston
1.98,2121.96,organic,2015,Boston
1.94,2763.26,organic,2015,Boston
1.99,1965.57,organic,2015,Boston
1.91,2566.9,organic,2015,Boston
1.85,3024.12,organic,2015,Boston
1.74,3325.89,organic,2015,Boston
1.91,2271.95,organic,2015,Boston
1.91,3098.29,organic,2015,Boston
1.78,2943.85,organic,2015,Boston
2.01,1948.28,organic,2015,Boston
2.0,2209.34,organic,2015,Boston
1.94,2217.82,organic,2015,Boston
1.83,2192.13,organic,2015,Boston
1.58,20995.37,organic,2015,Chicago
1.58,22452.3,organic,2015,Chicago
1.59,24059.71,organic,2015,Chicago
1.59,27081.13,organic,2015,Chicago
1.59,22168.32,organic,2015,Chicago
1.57,24095.66,organic,2015,Chicago
1.58,25759.36,organic,2015,Chicago
1.59,26247.16,organic,2015,Chicago
1.6,24450.48,organic,2015,Chicago
1.61,22648.93,organic,2015,Chicago
1.79,19818.98,organic,2015,Chicago
1.69,19520.71,organic,2015,Chicago
1.78,20398.64,organic,2015,Chicago
1.67,24311.76,organic,2015,Chicago
1.6,26935.23,organic,2015,Chicago
1.61,27327.18,organic,2015,Chicago
1.61,28269.21,organic,2015,Chicago
1.6,30663.55,organic,2015,Chicago
1.61,31623.52,organic,2015,Chicago
1.62,29458.3,organic,2015,Chicago
1.62,28253.94,organic,2015,Chicago
1.59,27490.93,organic,2015,Chicago
1.62,26098.32,organic,2015,Chicago
1.65,19677.2,organic,2015,Chicago
1.66,18945.72,organic,2015,Chicago
1.67,19704.96,organic,2015,Chicago
1.68,18877.36,organic,2015,Chicago
1.82,16136.49,organic,2015,Chicago
1.87,18374.82,organic,2015,Chicago
1.85,19636.24,organic,2015,Chicago
1.85,18625.81,organic,2015,Chicago
1.86,20871.17,organic,2015,Chicago
1.57,24727.46,organic,2015,Chicago
1.47,27146.38,organic,2015,Chicago
1.51,27210.49,organic,2015,Chicago
1.51,31932.1,organic,2015,Chicago
1.55,27489.48,organic,2015,Chicago
1.3,88346.47,organic,2015,Chicago
1.65,21064.17,organic,2015,Chicago
1.66,15545.06,organic,2015,Chicago
1.67,16076.52,organic,2015,Chicago
1.64,15001.33,organic,2015,Chicago
1.62,16545.05,organic,2015,Chicago
1.82,11842.47,organic,2015,Chicago
1.83,10235.09,organic,2015,Chicago
1.81,10575.65,organic,2015,Chicago
1.78,9910.84,organic,2015,Chicago
1.52,14391.05,organic,2015,Chicago
1.83,10951.51,organic,2015,Chicago
1.81,12499.87,organic,2015,Chicago
1.79,12915.74,organic,2015,Chicago
1.49,17723.17,organic,2015,Chicago
1.71,3617.71,organic,2015,SouthCarolina
1.77,3240.71,organic,2015,SouthCarolina
1.74,3893.76,organic,2015,SouthCarolina
1.73,3775.9,organic,2015,SouthCarolina
1.71,3543.38,organic,2015,SouthCarolina
1.89,3128.95,organic,2015,SouthCarolina
1.82,3595.26,organic,2015,SouthCarolina
1.74,4719.1,organic,2015,SouthCarolina
1.75,4052.15,organic,2015,SouthCarolina
1.77,4663.44,organic,2015,SouthCarolina
1.84,4333.43,organic,2015,SouthCarolina
1.79,4198.66,organic,2015,SouthCarolina
1.96,3776.95,organic,2015,SouthCarolina
2.06,2725.27,organic,2015,SouthCarolina
1.91,3850.51,organic,2015,SouthCarolina
1.98,3338.53,organic,2015,SouthCarolina
2.0,4032.41,organic,2015,SouthCarolina
1.92,4295.83,organic,2015,SouthCarolina
1.91,4907.1,organic,2015,SouthCarolina
1.97,4371.78,organic,2015,SouthCarolina
2.0,3813.54,organic,2015,SouthCarolina
1.94,3856.28,organic,2015,SouthCarolina
1.81,3851.22,organic,2015,SouthCarolina
1.79,4076.63,organic,2015,SouthCarolina
1.84,4614.82,organic,2015,SouthCarolina
1.84,3840.59,organic,2015,SouthCarolina
1.9,3772.87,organic,2015,SouthCarolina
2.07,3191.86,organic,2015,SouthCarolina
1.99,3921.5,organic,2015,SouthCarolina
1.95,3556.7,organic,2015,SouthCarolina
2.02,3405.9,organic,2015,SouthCarolina
1.99,3812.69,organic,2015,SouthCarolina
1.44,5434.12,organic,2015,SouthCarolina
1.87,3783.3,organic,2015,SouthCarolina
1.92,3336.76,organic,2015,SouthCarolina
2.02,3545.7,organic,2015,SouthCarolina
1.87,4376.04,organic,2015,SouthCarolina
1.94,4030.76,organic,2015,SouthCarolina
1.97,3601.21,organic,2015,SouthCarolina
1.93,3194.76,organic,2015,SouthCarolina
